Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath,PGA_pred,PGA_log,PGA_predlog
ACAZ,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,16.788528,-99.790152,16.218,-98.0135,Deposito barra,220.0274,16.0,28.9972,207.4908799,"['N00E', ' N90E', ' V']",282.4855015,200.0,0.223388918,1.005555556,0.049902608,0.025196295,0.000508113,34.44509685,5.443368358,208.1068601,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\ACAZ1802-161,32.56696911712172,1.4623560639935167,1.5127773423242
OXJM,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,16.445191,-95.444705,16.218,-98.0135,Roca,384.52698,16.0,15.1216,286.7519343,"['N90E', ' V', ' N00E']",126.8220949,200.0,0.110677454,1.089385475,0.012249499,0.014319116,4.64e-05,29.18567316,5.188615193,287.1979662,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\OXJM1802-162,11.619552045745381,1.1795977458217994,1.065189385557678
EX12,"CIRES, A. C.",16/02/2018 23:39,16/02/2018 17:37,7.2,Mc,A,19.4236,-99.1602,16.21,-98.01,Alto riesgo sismico,236.25122,16.0,29.93218,379.534606,"['N00E', ' +V', ' N90W']",470.6212219,100.0,0.166400563,0.542822678,0.027689147,0.017052055,0.000330882,54.07782599,7.021155446,379.8717115,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\EX1220180216233939,26.81215148376012,1.4761383482298591,1.4283316644131427
NITA,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:41,7.2,Mw,A,19.020738,-102.085089,16.218,-98.0135,Roca,531.96918,16.0,4.2057,549.6357125,"['N00E', ' N90E', ' V']",46.02856972,200.0,0.063752591,1.0,0.004064393,0.006969712,0.000148918,49.2201799,6.840388537,549.8685448,BHN,BHE,BHZ,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\NITA1802-161,2.6965002200014174,0.6238382904636383,0.4308004600572974
OXCU,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,17.048881,-96.713269,16.218,-98.0135,Arcilla,273.39093,16.0,101.4448,171.5779105,"['N90E', ' V', ' N00E']",555.0705426,200.0,0.437288251,2.309734513,0.191221015,0.048865069,7.29e-05,39.07028297,5.858058208,172.3223124,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\OXCU1802-161,85.27418329216157,2.0062297902635464,1.930817568672738
COPL,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,16.61081,-98.98399,16.218,-98.0135,Roca,288.94928,16.0,27.9829,116.417983,"['N90E', ' V', ' N00E']",132.168391,200.0,0.081004972,0.93495935,0.006561806,0.011278125,0.000160209,17.31523097,3.975122561,117.512326,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\COPL1802-162,80.84639173964285,1.446892720475097,1.9076606416508137
CHFL,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,17.969493,-97.865638,16.218,-98.0135,Roca,494.87073,16.0,13.6273,195.4499028,"['N90E', ' V', ' N00E']",79.27836529,200.0,0.038132049,0.979094077,0.001454053,0.004686075,7.73e-05,30.12015956,5.182470289,196.1037085,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1802-161,17.741275295342067,1.134409816857594,1.2489848349896793
NUX2,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:40,7.2,Mw,A,17.216711,-100.79117,16.218,-98.0135,Roca,392.71118,16.0,2.8343,328.2204935,"['N90E', ' V', ' N00E']",23.94811048,200.0,0.034554203,0.909836066,0.001193993,0.004116142,6.16e-05,35.11677445,5.76760394,328.6102439,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\NUX21802-161,9.472114982558084,0.4524458167826702,0.9764469613369738
GA62,CIRES,16/02/2018 23:39,16/02/2018 23:40,7.2,Mc,A,19.4385,-99.1401,16.21,-98.01,Arcilla,218.52458,16.0,26.32119,380.3506641,"['N00E', ' +V', ' N90W']",582.1380876,100.0,0.26232447,0.550561798,0.068814128,0.025313627,0.000567942,69.79769807,8.116613243,380.6870469,BHN,BHZ,BHE,-,-,-,-,-,-,7.322,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\GA6220180216233939,28.610941996530425,1.420305520152807,1.4565321569020933
OXBJ,INSTITUTO DE INGENIERIA UNAM,16/02/2018 23:39,16/02/2018 23:39,7.2,Mw,A,17.067337,-96.723804,16.218,-98.0135,Roca,451.50266,16.0,27.1819,171.7120822,"['N90E', ' V', ' N00E']",127.9097914,100.0,0.110559012,1.031111111,0.012223295,0.015442677,0.003126636,16.41880072,3.695719027,172.455905,BHE,BHZ,BHN,-,-,-,-,-,-,7.2,16/02/2018 23:39,C:\Users\huevo\Downloads\Archivos_Acc\OXBJ1802-161,35.18043649954103,1.4342798104051526,1.546301223642363
