,Lat,Lon,Suelo,Vs30,Distancia_km,Dist_hipocentro,Profundidad,Mw*,PGA_pred,PGA_predlog
138,16.61081,-98.98399,33.001421872197476,288.94928,95.05025112257559,96.07575260420646,14,8.1,174.54382,2.2419045
142,16.758703,-99.233268,33.001421872197476,320.50287,63.16904278993657,64.70183897693201,14,8.1,296.1842,2.471562
146,19.055379,-98.227092,33.001421872197476,354.87314,289.4408413032438,289.7792273685772,14,8.1,34.817432,1.5417967
149,19.365,-99.226,29.237753712029193,453.53766,274.5159515488491,274.8727117317579,14,8.1,46.295517,1.6655389
150,17.982551,-92.938748,24.810286417881752,227.67941,767.6894536471594,767.817098820464,14,8.1,13.626265,1.1343768
154,16.776805,-93.089492,33.001421872197476,531.28314,742.6611623802696,742.7931085490853,14,8.1,15.800247,1.1986638
156,17.226169,-100.638345,33.001421872197476,560.17114,101.54581503738967,102.50635371335649,14,8.1,152.28127,2.1826465
159,19.434521,-99.133503,31.959340682442914,226.8056,284.43129135325944,284.7756301035655,14,8.1,48.945164,1.6897098
161,17.988778,-94.54387,24.810286417881752,300.62491,591.9213306330315,592.0868700270076,14,8.1,13.4107485,1.127453
168,19.332671,-99.04135,28.63126756125964,293.79306,276.2848819420213,276.6393608829312,14,8.1,39.288734,1.5942681
175,17.082872,-96.718744,44.276666314707946,424.53152,339.1329604488662,339.421809645185,14,8.1,77.545616,1.8895572
180,15.666837,-96.490506,33.001421872197476,498.83792,391.41249186723024,391.66278708822284,14,8.1,36.79941,1.5658408
181,19.436,-99.143,32.90196294199333,198.69783,284.33151382383693,284.6759732632081,14,8.1,51.663376,1.7131828
183,19.190906,-104.680633,33.001421872197476,409.68088,600.3333871265854,600.4966075665029,14,8.1,10.232911,1.0099992
185,16.654971,-96.729233,33.001421872197476,324.49927,339.3280787985638,339.61676204381365,14,8.1,34.17974,1.5337688
192,19.493,-99.128,32.90196294199333,180.0,290.8850125418928,291.2217205523948,14,8.1,51.222816,1.7094635
211,16.91426,-99.81885,33.001421872197476,303.80798,7.48842317894832,15.876916630977517,14,8.1,415.6709,2.6187496
212,17.048881,-96.713269,32.823017845092465,273.39093,339.6052772222329,339.89372503356054,14,8.1,47.051773,1.672576
217,19.373,-99.098,32.823017845092465,211.91898,278.8336211931878,279.1848640376232,14,8.1,51.663376,1.7131828
219,18.122359,-100.523804,33.001421872197476,436.80292,154.66331733764355,155.29565908255333,14,8.1,70.40587,1.8476088
223,17.061391,-96.716899,25.587519373094974,318.38348,339.24703000357164,339.5357821588827,14,8.1,41.004417,1.6128306
224,16.247374,-93.912575,38.847097797266784,478.65564,655.6233793879306,655.7728384128535,14,8.1,43.8284,1.6417556
227,20.682533,-103.4422,24.810286417881752,345.23602,582.0658185831977,582.2341600790253,14,8.1,15.35733,1.1863158
231,19.325266,-103.760813,33.001421872197476,430.89362,516.4516813499038,516.6414028793497,14,8.1,14.561327,1.163201
239,19.386,-99.054,32.823017845092465,226.63608,281.5635575537861,281.91139909968916,14,8.1,50.229347,1.7009575
242,18.860758,-97.094119,24.810286417881752,609.1994,364.86596809970723,365.13446109253584,14,8.1,41.641838,1.6195298
247,15.97695,-96.490739,33.001421872197476,849.63373,380.1154839715151,380.37321298285343,14,8.1,37.823383,1.5777603
256,16.874294,-99.886505,33.001421872197476,900.0,16.189204316802325,21.403045026611775,14,8.1,292.62756,2.4663153
262,15.947684,-97.187204,33.001421872197476,686.479,307.8892922655554,308.20742413476125,14,8.1,39.072723,1.5918736
272,16.997788,-100.089963,33.001421872197476,196.53853,36.32148894273998,38.92621942878068,14,8.1,507.13614,2.7051246
283,19.358,-99.1539,28.63126756125964,251.39807,275.62596704261586,275.98129231557914,14,8.1,47.62247,1.677812
284,19.373913,-99.096997,32.823017845092465,211.91898,278.9611953322781,279.31227774878323,14,8.1,51.663376,1.7131828
294,19.488,-99.114,26.327030834953433,370.24307,290.73014379613824,291.06703095974854,14,8.1,35.854908,1.5545486
295,17.213361,-100.432269,33.001421872197476,333.58603,79.42066470337704,80.64516093310398,14,8.1,236.04684,2.3729982
296,17.026234,-96.726179,38.847097797266784,254.89703,338.10287889239225,338.39260735914974,14,8.1,73.603966,1.8669012
303,17.09008,-99.59754,35.61953488041968,482.82285,23.940817080311174,27.733783053758085,14,8.1,334.0178,2.5237696
305,16.788528,-99.790152,36.36694105073888,220.0274,18.814690750325948,23.451920774861936,14,8.1,405.45944,2.6079473
306,16.888789,-99.835027,44.276666314707946,347.70175,10.712894074927208,17.628559199793116,14,8.1,447.8802,2.651162
308,16.187519,-95.209239,33.001421872197476,530.66547,513.8436984628117,514.034382556207,14,8.1,18.683668,1.2714622
309,19.405,-99.166,28.63126756125964,245.06641,280.3700404643004,280.7193609104179,14,8.1,47.62247,1.677812
315,19.41,-99.157,32.90196294199333,230.02853,281.14943848818103,281.4977917537178,14,8.1,50.229347,1.7009575
318,16.83733,-99.64526,33.001421872197476,274.22928,18.824718552273715,23.459966508337523,14,8.1,402.85617,2.60515
322,19.039943,-98.215087,28.521564148712365,364.50735,288.8532909253384,289.1923644884114,14,8.1,36.497,1.5622572
