Clave,Institucion,Inst,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Lat_epicentro,Lon_epicentro,Suelo,Vs30,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Dist_hipocentro,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Mw*,date,Filepath
LMPP,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,19/02/2018 06:56,19/02/2018 06:57,6,Mw,A,19.00147,-98.18227,16.2477,-97.775,Roca,364.29205,10.2,0.8354,309.5359594,"['N90E', ' V', ' N00E']",6.031697927,200,0.009207814,1.1,8.48E-05,0.001034432,3.42E-05,41.71019401,6.205337879,309.7039718,BHE,BHZ,BHN,-,-,-,-,-,-,6,19/02/2018 06:56,C:\Users\huevo\Downloads\Archivos_Acc\LMPP1802-191
OXJM,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,27/04/2016 12:51,27/04/2016 12:51,6,Mw,A,16.445191,-95.444705,14.35,-93.26,Roca,384.52698,20,0.8359,336.5876336,"['N00W', ' N90W', ' V']",8.374565308,200,0.011520895,2.018018018,0.000132731,0.001559576,3.27E-05,26.2668061,4.962144731,337.1813089,BHN,BHE,BHZ,-,-,-,-,-,-,6,27/04/2016 12:51,C:\Users\huevo\Downloads\Archivos_Acc\OXJM1604-271
HMTT,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,01/02/2019 16:14,01/02/2019 16:16,6.5,Mw,A,17.798341,-98.559717,14.5818,-92.4807,Roca,853.57428,76.2,0.8439,764.7477716,"['N00E', ' N90E', ' V']",12.33761684,100,0.011621869,0.771084337,0.000135068,0.001652137,8.52E-05,23.48394487,4.794698497,768.5347059,BHN,BHE,BHZ,-,-,-,-,-,-,6.5,01/02/2019 16:14,C:\Users\huevo\Downloads\Archivos_Acc\HMTT1902-011
OXLC,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,16/10/2008 19:41,16/10/2008 19:42,6.6,Mw,A,17.065039,-96.703157,13.87,-92.5,Roca,348.6579,23,0.8466,587.0713321,"['N90W', ' V', ' N00W']",10.40938595,200,0.010666054,0.962439848,0.000113765,0.001089452,3.49E-05,56.82302498,7.318276128,587.5217008,BHE,BHZ,BHN,-,-,-,-,-,-,6.6,16/10/2008 19:41,C:\Users\huevo\Downloads\Archivos_Acc\OXLC0810-161
RABO,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,07/11/2012 16:35,07/11/2012 16:38,7.3,Mw,A,18.569078,-98.445409,14.08,-92.32,Roca,253.38008,16,0.8506,844.4407757,"['N90W', ' V', ' N00W']",12.22512355,200,0.009627178,0.755319149,9.27E-05,0.001033261,1.76E-05,52.49416932,7.139563109,844.5923417,BHE,BHZ,BHN,-,-,-,-,-,-,7.3,07/11/2012 16:35,C:\Users\huevo\Downloads\Archivos_Acc\RABO1211-071
PBP2,"BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA, FACULTAD DE INGENIERIA CIVIL Y TECNOLOGICA",Benemérita Universidad Autónoma de Puebla,17/12/2015 19:49,17/12/2015 19:51,6.6,Mw,A,19.045439,-98.208468,15.76,-93.7,Terreno libre,334.21683,90,0.856,620.3081789,"['N90W', ' V', ' N00W']",16.57157966,200,0.011733656,0.752747253,0.000137679,0.001134357,8.91E-05,63.60204974,7.705254583,626.8031882,BHE,BHZ,BHN,-,-,-,-,-,-,6.6,17/12/2015 19:49,C:\Users\huevo\Downloads\Archivos_Acc\PBP21512-171
PUVA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,07/06/2016 10:51,07/06/2016 10:51,6.1,Mw,A,20.626163,-105.219166,18.23,-105.38,Roca,625.00989,16,0.8562,267.0406907,"['N00E', ' N90E', ' V']",4.846116774,100,0.007117906,0.258928571,5.07E-05,0.000791555,9.66E-05,30.6785288,4.827297706,267.519589,BHN,BHE,BHZ,-,-,-,-,-,-,6.1,07/06/2016 10:51,C:\Users\huevo\Downloads\Archivos_Acc\PUVA1606-071
HMTT,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,07/04/2020 01:52,07/04/2020 01:52,5,Mw,A,17.798341,-98.559717,17.259,-101.34,Roca,853.57428,5.6,0.8614,314.9165607,"['N00E', ' N90E', ' V']",4.716973261,100,0.007689465,1.514705882,5.91E-05,0.001178136,8.62E-05,17.25379285,4.065986751,314.9663477,BHN,BHE,BHZ,-,-,-,-,-,-,5,07/04/2020 01:52,C:\Users\huevo\Downloads\Archivos_Acc\HMTT2004-071
PUVA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,22/02/2015 14:23,22/02/2015 14:23,6.3,Mw,A,20.626163,-105.219166,18.65,-106.69,Roca,625.00989,16,0.8672,273.9228461,"['N00W', ' N90W', ' V']",5.561446953,100,0.008741245,2.939655172,7.64E-05,0.001383189,0.000109648,11.77200077,3.291870006,274.389733,BHN,BHE,BHZ,-,-,-,-,-,-,6.3,22/02/2015 14:23,C:\Users\huevo\Downloads\Archivos_Acc\PUVA1502-221
LMPP,"BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA, FACULTAD DE INGENIERIA CIVIL Y TECNOLOGICA",Benemérita Universidad Autónoma de Puebla,10/05/2014 07:36,10/05/2014 07:36,6.1,Mw,A,19.00147,-98.18227,17.06,-100.95,Roca,364.29205,12,0.8793,375.9249522,"['N90W', ' V', ' N00W']",6.14262429,200,0.009072589,0.763329644,8.23E-05,0.000904299,3.33E-05,58.84034268,7.3525048,376.116431,BHE,BHZ,BHN,-,-,-,-,-,-,6.1,10/05/2014 07:36,C:\Users\huevo\Downloads\Archivos_Acc\LMPP1405-101
OXBJ,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,21/08/2013 12:38,21/08/2013 12:38,6,Mw,A,17.067337,-96.723804,16.79,-99.56,Roca,451.50266,20,0.8831,316.8747846,"['N90W', ' V', ' N00W']",8.104658477,100,0.00904855,1.225265826,8.19E-05,0.001517691,0.000111787,9.174624646,3.048532774,317.5053214,BHE,BHZ,BHN,-,-,-,-,-,-,6,21/08/2013 12:38,C:\Users\huevo\Downloads\Archivos_Acc\OXBJ1308-211
ACAM,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,15/11/2012 09:20,15/11/2012 09:20,6.1,Mw,A,20.043186,-100.716777,18.17,-100.52,Roca,365.82617,40,0.8994,209.4348971,"['N00W', ' N90W', ' V']",14.52674212,100,0.008076108,0.510309278,6.52E-05,0.001550479,5.36E-05,6.715393247,2.746784188,213.2204872,BHN,BHE,BHZ,-,-,-,-,-,-,6.1,15/11/2012 09:20,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1211-151
MANZ,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,20/03/2021 03:06,20/03/2021 03:06,5.7,Mw,A,19.054336,-104.297848,16.45,-98.97,Roca,262.17523,19,0.9075,659.4199467,"['HNZ', ' HNN', ' HNE']",2.735557023,100,0.000988947,9.052829009,9.78E-07,0.00016648,8.40E-05,5.652265122,2.320784463,659.6936154,BHZ, HNN, HNE,-,-,-,-,-,-,5.7,20/03/2021 03:06,C:\Users\huevo\Downloads\Archivos_Acc\MANZ2103-201
TNLP,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,04:30.5,07:08.7,6.4,Mb,A,18.095563,-99.560805,16.31,-98.88,Roca,429.57571,22,0.91,212.4879663,"['N90E', ' V', ' N00E']",3.242452095,200,0.030315082,0.738955823,0.000919004,0.003046503,0.00010052,60.56696953,7.542975884,213.6238185,BHE,BHZ,BHN,-,-,-,-,-,-,6.45,04:30.5,C:\Users\huevo\Downloads\Archivos_Acc\TNLP9509-142
THEZ,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,25/03/2013 23:02,25/03/2013 23:05,6.2,Mw,A,18.477554,-97.383184,14.35,-90.81,Roca,464.60016,198,0.9129,863.0578108,"['VERT', ' N00E', ' N90E']",4.831440158,100,0.00824168,2.574468085,6.79E-05,0.001286741,0.000355478,14.08083434,3.546040555,885.4788449,BHN,BHN,BHE,-,-,-,-,-,-,6.2,25/03/2013 23:02,C:\Users\huevo\Downloads\Archivos_Acc\THEZ1303-251
CHFL,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,07/07/2014 11:23,07/07/2014 11:25,6.9,Mw,B,17.969493,-97.865638,14.75,-92.63,Roca,494.87073,60,0.9187,683.4377061,"['N90W', ' V', ' N00W']",10.84247363,200,0.009374028,0.633862463,8.79E-05,0.000885403,2.26E-05,73.79586268,8.416702686,686.0663949,BHE,BHZ,BHN,-,-,-,-,-,-,6.9,07/07/2014 11:23,C:\Users\huevo\Downloads\Archivos_Acc\CHFL1407-071
CANA,INSTITUTO DE INGENIERIA UNAM,Instituto de Ingeniería UNAM,02/04/2012 17:36,02/04/2012 17:37,6,Mw,A,18.567007,-101.977162,16.27,-98.47,Roca,365.34225,10,0.9279,466.1763753,"['N00W', ' N90W', ' V']",5.671655039,200,0.009270535,0.92,8.59E-05,0.001016755,8.00E-05,44.2069343,6.38642708,466.2836185,BHN,BHE,BHZ,-,-,-,-,-,-,6,02/04/2012 17:36,C:\Users\huevo\Downloads\Archivos_Acc\CANA1204-021
