,Clave,Institucion,Fecha,Hora_primera_muestra,Magnitud,Escala_magnitud,Calidad,Lat_estacion,Lon_estacion,Elev_estacion,Lat_epicentro,Lon_epicentro,Suelo,Profundidad,PGA_Gal,Distancia_km,Canales,area_integral,Fs_hz,FFT_AmpMax,FFTFreq_AmpMax,FFT_power,FFT_std,FFT_q50,FFT_kurtosis,FFT_skew,Filepath
41,ACAD,INSTITUTO DE INGENIERIA UNAM,1999/09/30 16:31:14.8,16:31:58.116,6.5,Mb,A,16.86225,-99.87147,6.0,15.95,-97.03,Limo arenoso,16.0,45.831,331.84098001561625,"['V', 'N90E', 'N00E']",240.73784150822578,250.0,0.44514749005758353,4.192991227671469,0.19815628790456644,0.059313037987099276,0.00024267159253052854,18.211382561016354,3.869925591935911,C:\Users\huevo\Downloads\Archivos_Acc\ACAD9909-301
42,ACAM,INSTITUTO DE INGENIERIA UNAM,2011/12/11 01:47:25,01:47:12.000,6.5,M,A,20.043186,-100.716777,1858.0,17.84,-99.98,Roca,58.0,1.8161,258.3187344180132,"['N00W', 'N90W', 'V']",22.361697919850297,100.0,0.01532704094121636,0.8976744186046511,0.00023491818401372248,0.0022541449259656943,6.561936312566755e-05,19.644069099690686,4.266842518320727,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1112-111
43,ACAM,INSTITUTO DE INGENIERIA UNAM,2012/03/20 18:02:47,18:03:27.000,7.4,M,A,20.043186,-100.716777,1858.0,16.251,-98.521,Roca,16.0,4.0578,487.2585420333955,"['N00W', 'N90W', 'V']",45.95140026776924,100.0,0.029742215318841705,0.4416403785488959,0.0008845993720723422,0.0030059890572887503,6.344109603293057e-05,57.80674720960685,7.424774099480332,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1203-201
44,ACAM,INSTITUTO DE INGENIERIA UNAM,2012/04/02 17:36:42,17:38:09.000,6.0,M,A,20.043186,-100.716777,1858.0,16.27,-98.47,Roca,10.0,0.5672,488.308304540112,"['N00W', 'N90W', 'V']",7.91789202265576,100.0,0.00992938926196239,0.41935483870967744,9.8592771115574e-05,0.0010605458740330777,8.546264427347214e-05,48.284371792092685,6.7040684962049335,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1204-021
45,ACAM,INSTITUTO DE INGENIERIA UNAM,2012/04/11 22:55:10,22:55:17.000,6.4,M,A,20.043186,-100.716777,1858.0,17.9,-103.06,Roca,16.0,1.6624,353.10193880591504,"['N00W', 'N90W', 'V']",20.497205047732173,100.0,0.016912665344023303,0.49056603773584906,0.00028603824903892687,0.0021384933539589836,9.175970870801266e-05,27.47034482314267,5.027051632138504,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1204-111
46,ACAM,INSTITUTO DE INGENIERIA UNAM,2012/11/15 09:20:22,09:20:08.000,6.1,M,A,20.043186,-100.716777,1858.0,18.17,-100.52,Roca,40.0,0.8994,209.43489714620907,"['N00W', 'N90W', 'V']",14.526742119623401,100.0,0.008076108026217459,0.5103092783505154,6.522352085113406e-05,0.0015504793160858999,5.355235922571652e-05,6.7153932472754025,2.7467841883579247,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1211-151
47,ACAM,INSTITUTO DE INGENIERIA UNAM,2013/08/21 12:38:30,12:39:30.000,6.0,M,A,20.043186,-100.716777,1858.0,16.79,-99.56,Roca,20.0,0.7484,383.9261812463429,"['N00W', 'N90W', 'V']",8.60490524774659,100.0,0.012790197575837665,0.797243429498007,0.0001635891540289637,0.0015416412787316069,7.935726313870724e-05,35.996530638796955,5.813433548079601,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1308-211
48,ACAM,INSTITUTO DE INGENIERIA UNAM,2014/04/18 14:27:23,14:27:24.000,7.2,M,A,20.043186,-100.716777,1858.0,17.18,-101.19,Roca,10.0,9.4533,322.69093365160023,"['N00W', 'N90W', 'V']",109.93655287704317,100.0,0.06589616951605237,0.5824719706407192,0.00434230515688831,0.008170378386722533,5.364252709243268e-05,26.95234091389216,4.858866868336853,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1404-181
49,ACAM,INSTITUTO DE INGENIERIA UNAM,2014/05/08 17:00:16,17:00:19.000,6.4,M,A,20.043186,-100.716777,1858.0,17.11,-100.87,Roca,17.0,3.5953,326.60010041205555,"['N00W', 'N90W', 'V']",39.902076210038906,100.0,0.03155609496772291,0.563684799814679,0.000995787129611947,0.0034799391844499085,7.15003795844208e-05,45.18641860438426,6.425818384715618,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1405-081
50,ACAM,INSTITUTO DE INGENIERIA UNAM,2014/05/10 07:36:01,07:36:03.000,6.1,M,A,20.043186,-100.716777,1858.0,17.06,-100.95,Roca,12.0,1.7067,332.72732083055416,"['N00W', 'N90W', 'V']",18.11320739773505,100.0,0.017502995377341513,0.6320456582236688,0.0003063548471792384,0.0021799938432310695,4.470760036951288e-05,29.82047730408283,5.202852660393702,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1405-101
51,ACAM,INSTITUTO DE INGENIERIA UNAM,2018/02/16 23:39:39,23:41:03.000,7.2,M,A,20.043186,-100.716777,1858.0,16.218,-98.0135,Roca,16.0,2.441,520.8358282960223,"['N00E', 'N90E', 'V']",31.71297754776791,100.0,0.025564048146590433,0.4728033472803347,0.0006535205576411937,0.0027142129058165573,5.6492139052872624e-05,49.12685122373254,6.769038345083433,C:\Users\huevo\Downloads\Archivos_Acc\ACAM1802-161
